City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Ponta Do Sol,PT,2021-03-29 18:16:17,32.6667,-17.1,66.2,68,20,11.5
189,Harper,LR,2021-03-29 18:16:18,4.375,-7.7169,81.55,74,17,6.08
190,Hatillo,PR,2021-03-29 18:16:19,18.4863,-66.8254,86.0,69,1,23.02
191,Walvis Bay,NA,2021-03-29 18:16:25,-22.9575,14.5053,64.4,77,7,8.05
192,Nouakchott,MR,2021-03-29 18:16:26,18.0858,-15.9785,77.0,50,1,20.71
193,Marzuq,YE,2021-03-29 18:16:26,14.4,46.4667,71.53,39,25,6.06
194,Heinola,FI,2021-03-29 18:16:27,61.2056,26.0381,39.2,100,90,14.97
195,Avezzano,IT,2021-03-29 18:16:27,42.0402,13.4388,57.0,47,61,3.0
196,Puerto Ayora,EC,2021-03-29 18:16:27,-0.7393,-90.3518,82.99,78,40,9.22
197,Kulu,TR,2021-03-29 18:16:28,39.0951,33.0799,44.78,67,34,10.07
198,Canico,PT,2021-03-29 18:16:28,32.6333,-16.85,66.2,68,20,11.5
199,Kshenskiy,RU,2021-03-29 18:16:28,51.8408,37.7136,30.02,92,32,8.12
200,Ancona,IT,2021-03-29 18:16:29,43.55,13.1667,57.0,71,13,1.14
201,Eydhafushi,MV,2021-03-29 18:16:29,5.1033,73.0708,80.47,75,100,13.49
202,Mbandaka,CD,2021-03-29 18:16:29,0.0487,18.2603,77.05,81,80,1.07
203,Pisco,PE,2021-03-29 18:16:30,-13.7,-76.2167,71.6,68,0,6.91
204,Grindavik,IS,2021-03-29 18:16:30,63.8424,-22.4338,32.0,64,75,18.41
205,Komsomolskiy,UZ,2021-03-29 18:16:30,40.4272,71.7189,42.8,70,90,6.91
206,Akdepe,TM,2021-03-29 18:16:31,42.0551,59.3788,50.0,61,0,9.22
207,Parana,AR,2021-03-29 18:14:31,-31.732,-60.5238,80.01,58,89,3.0
208,Candido Mendes,BR,2021-03-29 18:16:31,-1.4467,-45.7167,79.95,90,75,5.97
